,summary,Deutschland,Brasilien,USA,Frankreich,UN,China,Russland,Ukraine,word
ausführlich,2.6086493467108247,0.041578850917203224,-0.16557805422795066,-0.11381353845661486,-0.04004701080579415,0.0,0.2105485807663108,-0.10058892337419531,0.019461158790351138,ausführlich
wie ausführlich,2.6086493467108247,0.041578850917203224,-0.16557805422795066,-0.11381353845661486,-0.04004701080579415,0.0,0.2105485807663108,-0.10058892337419531,0.019461158790351138,wie ausführlich
ausführlich sprech,2.738419882398197,0.1029956267055293,-0.21412652731700538,-0.16236201154566945,-0.08859548389484889,0.0,0.16200010767725612,-0.1491373964632501,-0.02908731429870366,ausführlich sprech
sprech olaf,3.0543795177903728,0.21977393151156263,-0.323321926682301,-0.27155741091096514,-0.19779088326014432,0.0,0.05280470831196047,-0.2583327958285457,-0.1382827136639993,sprech olaf
scholz thema,2.6918947169380614,0.08208237377907891,-0.19699075993077755,-0.14522624415944155,-0.07145971650862089,0.0,0.17913587506348397,-0.1320016290770222,-0.011951546912475648,scholz thema
thema menschenrecht,2.630435088162781,0.05258835036508371,-0.17389472378875412,-0.12213020801741829,-0.04836368036659749,0.0,0.20223191120550738,-0.1089055929349989,0.011144489229547503,thema menschenrecht
und ganz,2.5255463925870907,-0.003399880707992917,-0.1332028909415683,-0.08143837517023247,-0.0076718475194118094,0.0,0.2429237440526932,-0.06821376008781306,0.05183632207673324,und ganz
allgemein,2.5131616268963386,-0.010542005060993693,-0.12828703132701147,-0.07652251555567563,-0.002755987904854884,0.0,0.24783960366725005,-0.06329790047325624,0.0567521816912904,allgemein
ganz allgemein,2.5131616268963386,-0.010542005060993693,-0.12828703132701147,-0.07652251555567563,-0.002755987904854884,0.0,0.24783960366725005,-0.06329790047325624,0.0567521816912904,ganz allgemein
Welchen,2.491534554623778,-0.02331072430738851,-0.11964426616733127,-0.06787975039599549,0.005886777254825213,0.0,0.25648236882693026,-0.054655135313576,0.06539494685097029,Welchen
allgemein welchen,2.491534554623778,-0.02331072430738851,-0.11964426616733127,-0.06787975039599549,0.005886777254825213,0.0,0.25648236882693026,-0.054655135313576,0.06539494685097029,allgemein welchen
welchen kurs,2.4791912941127694,-0.030773235262021276,-0.11467787443412905,-0.06291335866279318,0.01085316898802739,0.0,0.26144876056013244,-0.04968874358037379,0.07036133858417258,welchen kurs
+824,2.4599810042367536,-0.042650658553181106,-0.10689908657953717,-0.055134570808201215,0.018631956842619347,0.0,0.26922754841472446,-0.04190995572578181,0.07814012643876467,+824
kurs +824,2.4599810042367536,-0.042650658553181106,-0.10689908657953717,-0.055134570808201215,0.018631956842619347,0.0,0.26922754841472446,-0.04190995572578181,0.07814012643876467,kurs +824
+824 chars,2.4550594033627933,-0.04574662717427011,-0.10489641636292296,-0.05313190059158707,0.020634627059233683,0.0,0.2712302186313384,-0.03990728550916764,0.08014279665537881,+824 chars
china-reise olaf,3.6982503804945415,0.028490561998578974,0.03205880161063584,-0.46284078042394905,-0.3890742527731282,0.0,0.5163695407683856,-0.44961616534152954,-0.3295660831769831,china-reise olaf
scholz jinping,4.993991396539361,-0.27764616936690373,-0.14095551276715418,-0.7632164118453801,-0.6894498841945593,0.0,1.129025640441285,-0.7499917967629607,-0.6299417145984143,scholz jinping
jinping zusammenarbeit,3.532921820686985,-0.28296882885525815,0.4917001005996917,-0.4171061825726543,-0.3433396549218337,0.0,0.5621041386196802,-0.40388156749023507,-0.2838314853256885,jinping zusammenarbeit
zusammenarbeit deutschland,3.0818518499898384,-0.2099194953093136,0.31968609925593366,-0.2805116090525446,-0.2067450814017238,0.0,0.5032062559967788,-0.26728699397012523,-0.14723691180557874,zusammenarbeit deutschland
deutschland ausbau,2.99132247437688,-0.16729620066485387,0.25570522567975507,-0.2506965314885947,-0.17693000383777382,0.0,0.4643426934365231,-0.23747191640617527,-0.11742183424162876,deutschland ausbau
ausbau bei,2.970915467770402,-0.13115717305558838,0.21644707503766183,-0.24385108637419564,-0.1700845587233748,0.0,0.4318990634131559,-0.23062647129177616,-0.11057638912722965,ausbau bei
bei erst,2.981455412816033,-0.08593360947210811,0.17436678712641795,-0.24739251760314362,-0.17362598995232298,0.0,0.3926094928242804,-0.23416790252072434,-0.11411782035617789,bei erst
erst treffen,3.0211036371135607,-0.0438222553526862,0.1393737382505015,-0.2606031501303954,-0.18683662247957483,0.0,0.3580085724676622,-0.247378535047976,-0.12732845288342962,erst treffen
chinesische,4.086262750167183,-0.40721935268748344,0.4892638782964922,-0.07520376205608728,-0.4888452144104807,0.0,0.6502323245628037,-0.5493871269788819,-0.42933704481433554,chinesische
scholz chinesisch,2.865080358252088,-0.05218495140378949,0.1153288130069398,-0.2075773407776077,-0.133810813126787,0.0,0.32843839311636985,-0.19435272569518822,-0.07430264353064171,scholz chinesisch
chinesisch staats-,2.788145362502697,-0.07852666039893842,0.12551234857366175,-0.1803575729186374,-0.10659104526781678,0.0,0.33594745323323777,-0.16713295783621804,-0.04708287567167169,chinesisch staats-
staats- parteichef,2.7370976218026617,-0.0936256926540597,0.1292698797555865,-0.16187903961827685,-0.08811251196745612,0.0,0.33697217928538276,-0.1486544245358575,-0.02860434237131104,staats- parteichef
intensivere,2.6782998383273267,-0.10802302387723718,0.13031542520522474,-0.14016314727800905,-0.06639661962718828,0.0,0.3335226497917342,-0.12693853219558965,-0.006888450031043316,intensivere
parteichef intensiv,2.6782998383273267,-0.10802302387723718,0.13031542520522474,-0.14016314727800905,-0.06639661962718828,0.0,0.3335226497917342,-0.12693853219558965,-0.006888450031043316,parteichef intensiv
